defense,clean_acc,fit_time_sec,keep_fraction,det_precision,det_recall,det_f1,det_roc_auc,asr,dataset,attack,poison_rate,acc_clean_no_attack,seed
none,0.9736842105263158,0.0034875869750976562,1.0,0.0,0.0,0.0,0.5,0.02631578947368418,breast_cancer,label_flip,0.05,0.9912280701754386,42
anomaly_iforest,0.956140350877193,0.22414016723632812,0.9497206703910615,0.2777777777777778,0.29411764705882354,0.2857142857142857,0.6279972399516992,0.04385964912280704,breast_cancer,label_flip,0.05,0.9912280701754386,42
anomaly_lof,0.9649122807017544,0.030852079391479492,0.9497206703910615,0.2222222222222222,0.23529411764705882,0.22857142857142856,0.5971191995859928,0.03508771929824561,breast_cancer,label_flip,0.05,0.9912280701754386,42
roni,0.9473684210526315,0.06489157676696777,0.6675977653631285,0.03361344537815126,0.23529411764705882,0.058823529411764705,0.4490253579437641,0.052631578947368474,breast_cancer,label_flip,0.05,0.9912280701754386,42
trimmed_loss,0.9736842105263158,0.015910863876342773,0.9497206703910615,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9367776436087631,0.02631578947368418,breast_cancer,label_flip,0.05,0.9912280701754386,42
hybrid,0.9736842105263158,0.2761664390563965,0.9022346368715084,0.34285714285714286,0.7058823529411765,0.46153846153846156,0.8192168362946353,0.02631578947368418,breast_cancer,label_flip,0.05,0.9912280701754386,42
none,0.9385964912280702,0.003062009811401367,1.0,0.0,0.0,0.0,0.5,0.06140350877192979,breast_cancer,label_flip,0.05,0.9649122807017544,123
anomaly_iforest,0.9298245614035088,0.21586275100708008,0.9497206703910615,0.2777777777777778,0.29411764705882354,0.2857142857142857,0.6279972399516992,0.07017543859649122,breast_cancer,label_flip,0.05,0.9649122807017544,123
anomaly_lof,0.9473684210526315,0.006236553192138672,0.9497206703910615,0.2777777777777778,0.29411764705882354,0.2857142857142857,0.6279972399516992,0.052631578947368474,breast_cancer,label_flip,0.05,0.9649122807017544,123
roni,0.9298245614035088,0.05999898910522461,0.4720670391061452,0.031746031746031744,0.35294117647058826,0.05825242718446602,0.4081421424874936,0.07017543859649122,breast_cancer,label_flip,0.05,0.9649122807017544,123
trimmed_loss,0.9736842105263158,0.015365123748779297,0.9497206703910615,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9676556839744695,0.02631578947368418,breast_cancer,label_flip,0.05,0.9649122807017544,123
hybrid,0.9298245614035088,0.2792665958404541,0.7122905027932961,0.13592233009708737,0.8235294117647058,0.23333333333333334,0.7812661721580128,0.07017543859649122,breast_cancer,label_flip,0.05,0.9649122807017544,123
none,0.956140350877193,0.002988576889038086,1.0,0.0,0.0,0.0,0.5,0.04385964912280704,breast_cancer,label_flip,0.05,0.9824561403508771,2024
anomaly_iforest,0.9736842105263158,0.21376419067382812,0.9497206703910615,0.3333333333333333,0.35294117647058826,0.34285714285714286,0.6588752803174056,0.02631578947368418,breast_cancer,label_flip,0.05,0.9824561403508771,2024
anomaly_lof,0.9824561403508771,0.006407976150512695,0.9497206703910615,0.1111111111111111,0.11764705882352941,0.11428571428571428,0.53536311885458,0.01754385964912286,breast_cancer,label_flip,0.05,0.9824561403508771,2024
roni,0.956140350877193,0.06090521812438965,0.888268156424581,0.1,0.23529411764705882,0.14035087719298245,0.5648611350698638,0.04385964912280704,breast_cancer,label_flip,0.05,0.9824561403508771,2024
trimmed_loss,0.9912280701754386,0.01574873924255371,0.9497206703910615,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9676556839744695,0.00877192982456143,breast_cancer,label_flip,0.05,0.9824561403508771,2024
hybrid,0.9649122807017544,0.2735002040863037,0.7960893854748603,0.1917808219178082,0.8235294117647058,0.3111111111111111,0.8252544419527341,0.03508771929824561,breast_cancer,label_flip,0.05,0.9824561403508771,2024
none,0.9473684210526315,0.003968477249145508,1.0,0.0,0.0,0.0,0.5,0.052631578947368474,breast_cancer,label_flip,0.1,0.9912280701754386,42
anomaly_iforest,0.956140350877193,0.21684598922729492,0.8986666666666666,0.3684210526315789,0.4117647058823529,0.3888888888888889,0.6706917371053993,0.04385964912280704,breast_cancer,label_flip,0.1,0.9912280701754386,42
anomaly_lof,0.9649122807017544,0.0062007904052734375,0.8986666666666666,0.34210526315789475,0.38235294117647056,0.3611111111111111,0.6545195790926341,0.03508771929824561,breast_cancer,label_flip,0.1,0.9912280701754386,42
roni,0.9035087719298246,0.07371091842651367,0.6613333333333333,0.07874015748031496,0.29411764705882354,0.12422360248447205,0.47550457132999835,0.0964912280701754,breast_cancer,label_flip,0.1,0.9912280701754386,42
trimmed_loss,0.9649122807017544,0.018784523010253906,0.9013333333333333,0.8378378378378378,0.9117647058823529,0.8732394366197183,0.9470846989822321,0.03508771929824561,breast_cancer,label_flip,0.1,0.9912280701754386,42
hybrid,0.9385964912280702,0.26918530464172363,0.5413333333333333,0.1686046511627907,0.8529411764705882,0.2815533980582524,0.7167931688804553,0.06140350877192979,breast_cancer,label_flip,0.1,0.9912280701754386,42
none,0.9298245614035088,0.003975868225097656,1.0,0.0,0.0,0.0,0.5,0.07017543859649122,breast_cancer,label_flip,0.1,0.9649122807017544,123
anomaly_iforest,0.9649122807017544,0.21721625328063965,0.8986666666666666,0.42105263157894735,0.47058823529411764,0.4444444444444444,0.7030360531309299,0.03508771929824561,breast_cancer,label_flip,0.1,0.9649122807017544,123
anomaly_lof,0.956140350877193,0.006392478942871094,0.8986666666666666,0.3157894736842105,0.35294117647058826,0.3333333333333333,0.6383474210798689,0.04385964912280704,breast_cancer,label_flip,0.1,0.9649122807017544,123
roni,0.9473684210526315,0.07209277153015137,0.8133333333333334,0.1,0.20588235294117646,0.1346153846153846,0.5105658099016732,0.052631578947368474,breast_cancer,label_flip,0.1,0.9649122807017544,123
trimmed_loss,0.9736842105263158,0.015470743179321289,0.9013333333333333,0.8648648648648649,0.9411764705882353,0.9014084507042254,0.9632568569949975,0.02631578947368418,breast_cancer,label_flip,0.1,0.9649122807017544,123
hybrid,0.956140350877193,0.27120137214660645,0.7466666666666667,0.30526315789473685,0.8529411764705882,0.4496124031007752,0.829696394686907,0.04385964912280704,breast_cancer,label_flip,0.1,0.9649122807017544,123
none,0.9473684210526315,0.0037376880645751953,1.0,0.0,0.0,0.0,0.5,0.052631578947368474,breast_cancer,label_flip,0.1,0.9824561403508771,2024
anomaly_iforest,0.9736842105263158,0.2124040126800537,0.8986666666666666,0.3157894736842105,0.35294117647058826,0.3333333333333333,0.6383474210798689,0.02631578947368418,breast_cancer,label_flip,0.1,0.9824561403508771,2024
anomaly_lof,0.9649122807017544,0.0067157745361328125,0.8986666666666666,0.23684210526315788,0.2647058823529412,0.25,0.5898309470415731,0.03508771929824561,breast_cancer,label_flip,0.1,0.9824561403508771,2024
roni,0.956140350877193,0.06303167343139648,0.8213333333333334,0.11940298507462686,0.23529411764705882,0.15841584158415842,0.5311367948939106,0.04385964912280704,breast_cancer,label_flip,0.1,0.9824561403508771,2024
trimmed_loss,0.9912280701754386,0.016384124755859375,0.9013333333333333,0.8918918918918919,0.9705882352941176,0.9295774647887324,0.9794290150077627,0.00877192982456143,breast_cancer,label_flip,0.1,0.9824561403508771,2024
hybrid,0.9385964912280702,0.2572910785675049,0.4106666666666667,0.11764705882352941,0.7647058823529411,0.20392156862745098,0.5964291875107814,0.06140350877192979,breast_cancer,label_flip,0.1,0.9824561403508771,2024
none,0.9473684210526315,0.004367351531982422,1.0,0.0,0.0,0.0,0.5,0.052631578947368474,breast_cancer,label_flip,0.2,0.9912280701754386,42
anomaly_iforest,0.9473684210526315,0.19912219047546387,0.7995110024449877,0.36585365853658536,0.4411764705882353,0.4,0.6443419009832673,0.052631578947368474,breast_cancer,label_flip,0.2,0.9912280701754386,42
anomaly_lof,0.956140350877193,0.0076105594635009766,0.8019559902200489,0.19753086419753085,0.23529411764705882,0.21476510067114093,0.5223391409349664,0.04385964912280704,breast_cancer,label_flip,0.2,0.9912280701754386,42
roni,0.9035087719298246,0.09002065658569336,0.706601466992665,0.21666666666666667,0.38235294117647056,0.2765957446808511,0.5533465585647749,0.0964912280701754,breast_cancer,label_flip,0.2,0.9912280701754386,42
trimmed_loss,0.9473684210526315,0.01658034324645996,0.7995110024449877,0.8170731707317073,0.9852941176470589,0.8933333333333333,0.9706529239261689,0.052631578947368474,breast_cancer,label_flip,0.2,0.9912280701754386,42
hybrid,0.9649122807017544,0.27818846702575684,0.5452322738386308,0.25806451612903225,0.7058823529411765,0.3779527559055118,0.6505951354148698,0.03508771929824561,breast_cancer,label_flip,0.2,0.9912280701754386,42
none,0.9122807017543859,0.004651546478271484,1.0,0.0,0.0,0.0,0.5,0.08771929824561409,breast_cancer,label_flip,0.2,0.9649122807017544,123
anomaly_iforest,0.9473684210526315,0.2139115333557129,0.7995110024449877,0.34146341463414637,0.4117647058823529,0.37333333333333335,0.6267034673106779,0.052631578947368474,breast_cancer,label_flip,0.2,0.9649122807017544,123
anomaly_lof,0.9473684210526315,0.007457733154296875,0.7995110024449877,0.23170731707317074,0.27941176470588236,0.25333333333333335,0.5473305157840261,0.052631578947368474,breast_cancer,label_flip,0.2,0.9649122807017544,123
roni,0.8859649122807017,0.09709453582763672,0.6454767726161369,0.14482758620689656,0.3088235294117647,0.19718309859154928,0.47259358288770054,0.11403508771929827,breast_cancer,label_flip,0.2,0.9649122807017544,123
trimmed_loss,0.9736842105263158,0.016493558883666992,0.7995110024449877,0.8170731707317073,0.9852941176470589,0.8933333333333333,0.9706529239261689,0.02631578947368418,breast_cancer,label_flip,0.2,0.9649122807017544,123
hybrid,0.9385964912280702,0.2791569232940674,0.49877750611246946,0.2634146341463415,0.7941176470588235,0.3956043956043956,0.6756511988959806,0.06140350877192979,breast_cancer,label_flip,0.2,0.9649122807017544,123
none,0.9210526315789473,0.004317283630371094,1.0,0.0,0.0,0.0,0.5,0.07894736842105265,breast_cancer,label_flip,0.2,0.9824561403508771,2024
anomaly_iforest,0.9649122807017544,0.21441245079040527,0.7970660146699267,0.3253012048192771,0.39705882352941174,0.3576158940397351,0.6164179748145593,0.03508771929824561,breast_cancer,label_flip,0.2,0.9824561403508771,2024
anomaly_lof,0.9473684210526315,0.007133960723876953,0.7970660146699267,0.26506024096385544,0.3235294117647059,0.2913907284768212,0.572321890633086,0.052631578947368474,breast_cancer,label_flip,0.2,0.9824561403508771,2024
roni,0.9385964912280702,0.08854913711547852,0.7555012224938875,0.16,0.23529411764705882,0.19047619047619047,0.4944799033983095,0.06140350877192979,breast_cancer,label_flip,0.2,0.9824561403508771,2024
trimmed_loss,0.9736842105263158,0.015770673751831055,0.7995110024449877,0.8292682926829268,1.0,0.9066666666666666,0.9794721407624634,0.02631578947368418,breast_cancer,label_flip,0.2,0.9824561403508771,2024
hybrid,0.9385964912280702,0.2619438171386719,0.6112469437652812,0.34591194968553457,0.8088235294117647,0.4845814977973568,0.7519190960841815,0.06140350877192979,breast_cancer,label_flip,0.2,0.9824561403508771,2024
none,0.9473684210526315,0.002524137496948242,1.0,0.0,0.0,0.0,0.5,0.13953488372093023,breast_cancer,targeted_flip,0.05,0.9912280701754386,42
anomaly_iforest,0.9473684210526315,0.20583772659301758,0.946927374301676,0.0,0.0,0.0,0.47214076246334313,0.13953488372093023,breast_cancer,targeted_flip,0.05,0.9912280701754386,42
